Channel Title,Channel Id,videoCount,Vote1,Vote2,Vote3,Vote4,Vote5,Pinoybaiting
Quang Tran,UCraOIV5tXbWQtq7ORVOG4gg,2,No,Yes,Yes,Yes,No,yes
Spencer & Kristy,UCravC7dPHG83M4LP4SYpXvg,2,No,Yes,Yes,Yes,No,yes
𝐍𝐎𝐘𝐂𝐇𝐈 𝐅𝐀𝐌𝐈𝐋𝐘 𝐈𝐍 𝐂𝐇𝐈𝐍𝐀,UCRBl2r79LSWOpMh-ZeHWNTg,2,Yes,Yes,Yes,Yes,No,yes
Dave Roams,UCRbxApsHPfN2huG4Z6D0MeA,18,Yes,Yes,Yes,Yes,Yes,yes
KJ AVELINO VLOGS,UCRcnAgWCwVdeGaDxXOStLDA,6,No,No,No,No,No,no
Steven Sushi 2,UCRdFo4dY8bxHitHktNAWDxQ,2,Yes,No,Yes,Yes,No,yes
Nurse Ruth Nook,UCRe3yRMUuJkNeWLtO9kBGqg,6,Yes,Yes,Yes,Yes,No,yes
The Crowns Vlog,UCRE7r7IHtuDeiYcPXdUXaVw,2,Yes,Yes,Yes,Yes,Yes,yes
MOVIEHOLIC,UCRHcpjAIeJpAVhnSaa_I2hQ,2,No,No,No,No,No,no
Chad Foster Explores,UCRJsTt5C_CCKtst-pqMzYVA,9,Yes,Yes,Yes,Yes,Yes,yes
Lyn & Anthony life in the Philippines,UCrkk5DrjoeF6AJkP0YEpZIQ,9,No,No,Yes,Yes,No,no
Elisa and Rei 💗,UCrKlA-J0_yBO9YYaxUT7-mQ,2,Yes,Yes,Yes,Yes,No,yes
• 𝚂𝙷𝚈 •,UCrlcSdUWNYvuFOk6S-3YXPA,2,No,No,Yes,Yes,No,no
The Filipina Pea,UCrm4tEQqTrUP3MwB2G1mjHw,9,No,No,No,Yes,No,no
Part Time Travelling Family - Eleise and Lawrence,UCRMPRZ498l0Bu5xvcvaesuA,4,Yes,No,Yes,Yes,Yes,yes
Isla Pamilya,UCRN5aoMVbZgaFrzqwUqMyWw,2,No,Yes,Yes,Yes,No,yes
Japanese Shu channel,UCrOmnHUEWYsGia51g9QNG7g,5,Yes,No,Yes,Yes,Yes,yes
The Hungry Syrian Wanderer,UCrPo31V8wpuuCMseyzEDZMQ,9,Yes,Yes,Yes,Yes,No,yes
KIM n LEE,UCRrUJKpFAGgA9WVjSWhgk2Q,8,Yes,Yes,Yes,Yes,Yes,yes
Team Amor,UCrvUGNVWWyrQmx6SeVxJ9nQ,3,Yes,Yes,Yes,Yes,No,yes
What's up Philippines,UCryJ4vhASeu7uhXRPOL3WhA,139,Yes,Yes,Yes,Yes,Yes,yes
Ride with Gabi,UCrYYlurQKzxeyabcqwSEYcQ,2,Yes,Yes,Yes,Yes,No,yes
TriFate Lifestyle,UCRzBNJTsBe2rq6pkyXeaj1A,20,Yes,Yes,Yes,Yes,Yes,yes
Hello Kiri,UCrZxPinzghT-Ry6NmOf81mw,2,No,No,No,Yes,Yes,no
MICK AND JEAN'S LIFE IN THE PHILIPPINES,UCS4pn9XQULeUacclO0d7SmQ,2,No,No,Yes,Yes,Yes,no
YanaFromUkraine,UCS4r32U01R4vta9fc3Ca0kg,2,No,No,No,Yes,Yes,no
Asian Drama Station,UCS5MbG00dzUDTEp6LXaIGYA,2,No,No,No,Yes,No,no
Puting Pinoy of ExAmmon Studios,UCs5vW-XTkApnkLbaiz0yNIg,6,Yes,Yes,Yes,Yes,No,yes
Peach,UCSBrtrvZravZ-TGs_4LlO1g,2,No,No,Yes,No,No,no
Yuta Uchida / UTG,UCScSbGnIJOv_i-3Sm8Yb5Fw,4,Yes,No,No,Yes,Yes,no
Pinoy Floyd 🇵🇭,UCsfUbIyotnXsKv9paUan0lQ,2,Yes,Yes,Yes,Yes,Yes,yes
Wil Dasovich,UCSir19L_390tAg4IbCggvCg,9,No,Yes,No,Yes,No,no
bored Ruky,UCSK2PJg8nhHnrQJ7kzvUj0Q,2,No,No,Yes,Yes,No,no
Bret Maverick,UCSqcvKFWQhhQOiK4jxyEElQ,2,Yes,Yes,Yes,Yes,No,yes
The Trips,UCSrMrcpvabewFQCSBRUAiWw,4,No,No,Yes,Yes,No,no
ABS-CBN Entertainment,UCstEtN0pgOmCf02EdXsGChw,6,No,No,No,No,No,no
Bigg World Cinema,UCSvaH7DbguYJcp8PHTTv1Zw,17,Yes,Yes,Yes,Yes,Yes,yes
Ira Joyce Sanchez,UCSvo854IR0oj9vZZ55o4LHA,2,No,No,No,No,No,no
Faruk Acar,UCT1Ay1RAXtUlEII5toY3gBg,2,Yes,Yes,Yes,Yes,Yes,yes
A Foreigner in the Philippines,UCt9BTGSxATM6axwfTY4KnEg,77,Yes,Yes,Yes,Yes,Yes,yes
Travel With Success,UCt9CPuWfS9HgRZmSYpGPFaw,13,Yes,Yes,Yes,Yes,No,yes
American Foreigner,UCtA6aAfZDMu9KPFNFvYz18A,2,Yes,Yes,Yes,Yes,No,yes
MARENG CUBANOY VLOG,UCtA9jjiIKnJBGVIOMTtVqqA,2,No,No,Yes,Yes,No,no
Captain Steve,UCtAkYahXNSJ8RVOil0O_Rnw,2,Yes,No,Yes,Yes,No,yes
ProjectHanna,UCtBIWmRRlItV4I8e_AMLWeA,2,Yes,Yes,Yes,Yes,No,yes
Myk's Philippine Journey,UCTfHKQ9fbUEiStUAQEax7dw,5,No,No,No,Yes,No,no
R7 Tatsumaki,UCTg0Ue7PAI8ep3_ITQMqQcA,4,No,No,No,Yes,No,no
Hiubang Show,UCth6TQtLO5sOY-vjaeAfYBQ,5,No,Yes,No,Yes,No,no
EL's Planet,UCTL128JylZO50B0MqbUuhSw,21,Yes,Yes,Yes,Yes,Yes,yes
Spizee,UCtM58H2QaTXTi7OIRAVgAGg,2,No,No,No,Yes,No,no
Cian Abion,UCTMd5fOTWCvvUzZJmU4u8sg,2,No,No,Yes,Yes,No,no
JJ's Journey,UCtNK-R1uX4hKBYU-GM54gHQ,3,Yes,Yes,Yes,Yes,Yes,yes
Chris Urbano,UCtOXruSampZT4DrPsnuz7AA,3,Yes,Yes,Yes,Yes,No,yes
Short King Vlogs,UCTrAdQJ_Uyg5mbottTCZVPQ,2,Yes,Yes,Yes,Yes,Yes,yes
Russian Boy,UCTrp1gkrbzase5fzlAFGtPg,2,No,Yes,Yes,Yes,Yes,yes
NoFear_LifeStyle,UCTtxTOpvEj0E3YAFGfiCOsQ,7,No,Yes,Yes,Yes,No,yes
Featuring Big Brotha,UCU_S44_TIjz61VjYLbuWutQ,2,No,No,Yes,Yes,No,no
Jeanelleats,UCU03NklypYW1AAIoNE2Vh1g,4,No,No,Yes,Yes,No,no
TK Top Travel,UCu2VsQol474IboUn1DHIoqA,2,Yes,Yes,Yes,Yes,Yes,yes
𝒌𝒊𝒕𝒕𝒚&𝒔𝒉𝒂𝒓𝒌𝒚,UCu36inZKKSOsY9qdjMATygg,2,No,No,No,No,No,no
MJ at Virginia,UCU5Ax0Inw5uYq5P3tVVIwFg,2,No,No,Yes,Yes,No,no
Lost Knox,UCu69sXEA647BkACmLf1Zh7A,2,Yes,Yes,Yes,Yes,Yes,yes
AceBachelorCool,UCU78xbApo9_MCzS7B_tfY8w,4,Yes,Yes,Yes,Yes,Yes,yes
「YUKISHA_SEYOO」,UCU8FP4y4bul5fZPnXSqHrKw,2,No,No,No,Yes,No,no
Pirate Cove Philippines,UCUb_Ryp4MZHWnsTOVTA3txA,2,Yes,Yes,Yes,Yes,Yes,yes
Combat Arms Channel,UCUB6A2YY9soreMGNwDLh-zw,5,Yes,No,Yes,Yes,No,yes
RELL 🕺🏽,UCuBgQMllxvxKLuABHZlV5KA,9,Yes,Yes,Yes,Yes,Yes,yes
POPKORN,UCuEd8gRMuOJKYAqCRfQoBKw,2,Yes,No,No,Yes,Yes,no
Hypebits TV,UCuEZGP5cGZkPqVqU6LBF4aQ,6,No,No,No,No,No,no
Chika Blockbuster,UCUF2pX2Tein3t__JDUXlt6Q,6,No,No,No,No,No,no
Robyn Kimberly,UCUI4T7riAxLPSV4htxMFLqw,3,Yes,No,Yes,Yes,Yes,yes
biggy travels,UCUk8aRBVog6G9ipBSN_Ow1g,4,Yes,Yes,No,Yes,No,yes
Tazzz N Philly,UCuMF9paEZU8RWv9YXd6-rlA,2,No,No,Yes,No,No,no
INTERVIEWS AROUND THE WORLD,UCuQn8TDdvfdx6vtkvf3ZfeA,4,Yes,Yes,Yes,No,No,yes
papah!,UCuqo67tPvKT_wua8tYUo38g,4,No,No,Yes,Yes,No,no
Ali Yui Club｜Filipino Japanese couple,UCUQPGGBkluwPMxRyY8n1DWQ,12,Yes,Yes,Yes,Yes,Yes,yes
Making it happen Vlog,UCuS5fmeEDpnW5JPMdRhGm7A,74,Yes,Yes,Yes,Yes,Yes,yes
Jeevan,UCuVEvEzDJORUxstVLfql4oA,2,No,Yes,Yes,Yes,No,yes
Juwonee,UCuWBv9w0mYhXv-I_1fSaYSA,5,Yes,Yes,Yes,Yes,No,yes
Justin Burke,UCUyDpu18SLNxJxMjJKFbNOA,24,No,No,Yes,Yes,Yes,no
◓ ᴀʟᴢɪᴅᴀɴ_ɪɴᴅᴏɴᴇsɪᴀ,UCuZablyHnz3iR1ychaI_c3w,4,No,No,Yes,Yes,No,no
The Black Filipino TV,UCV34zLTn4A60jS8RTI96_sw,5,Yes,Yes,Yes,Yes,Yes,yes
ᥫ᭡ Kãwæìí–ñëkœ9 ᥫ᭡,UCV70R5lkhLuUgwrhWUfbsNw,4,No,No,No,No,No,no
Just be free,UCV9l2OvfTRuRaCpewolcAww,2,Yes,No,Yes,Yes,No,yes
YouTube Movies,UCvA3GAB2wtYbCOTn4aFYX_w,4,No,No,No,No,No,no
Justin Roque,UCVa6ozIskHiTXeTBV4Z9SUw,2,Yes,Yes,Yes,Yes,Yes,yes
Island Media Asia,UCVBn2I55zk8ToyfbK-4l0EQ,2,Yes,No,Yes,Yes,Yes,yes
Magic Studioz,UCVDibkjAbhel4ilMYL3-hxQ,3,No,No,No,Yes,No,no
Nephi Acaling,UCVdRiM-cMZEUBEYxV-cRKXg,2,No,No,Yes,Yes,No,no
Maman Sudirman,UCVeI0cfcnZoIskW-cEyufMg,2,Yes,Yes,Yes,Yes,Yes,yes
Roaming Hogan,UCVfF2cBhyatGQc_BcjSZ-_Q,2,Yes,Yes,Yes,Yes,No,yes
Kenny style,UCvFvKJVX-IZqht8rgNc3gNg,3,No,No,No,Yes,No,no
chatherine alex,UCVGkH1_CIfauwuHRDhdPqQA,2,No,No,Yes,Yes,No,no
BORBON TV,UCVhn39jQTNi4eryLqVmaB7Q,2,No,No,No,No,No,no
ANC 24/7,UCvi6hEzLM-Z_unKPSuuzKvg,2,No,No,No,No,No,no
The Ahern Family,UCvIgYVKzRbxEBoxsSXoR8rw,3,No,Yes,No,Yes,No,no
Ting The Ordinary Filipina,UCvijIEndhzegAx4Ikivq3dQ,2,No,Yes,Yes,No,No,no
The Ash Family - Filipino-American Family,UCvmlV6FcxD9maTM_oPX-5Mg,3,No,No,Yes,No,No,no
Purple Twins,UCvOxZARbKQLR4WB59oyq45g,50,Yes,Yes,Yes,Yes,Yes,yes
Rice Squad,UCvpAuunAEsJSaJRnq7iX4jA,6,Yes,Yes,Yes,Yes,No,yes
Just Jonny & Chloe,UCVR42zazbJZLL4r2Lo8PqRg,2,Yes,Yes,Yes,Yes,No,yes
INQUIRER.net,UCvRAX-ujvZ0eTMLGG2vki9w,2,No,No,No,No,No,no
Max & Sujy 맥스와 수지,UCvsb2dwX9pL-_QX8blpQ_Ag,7,Yes,Yes,Yes,Yes,Yes,yes
Small Town PH,UCvsg9Mg-C1cZ3VmuP-9et2w,3,Yes,No,Yes,No,No,no
Dabble and Travel,UCVv-y0k91qAA-uI_K46UBvg,25,Yes,Yes,Yes,Yes,Yes,yes
Autumn Van Ry,UCvvuvmBzcnRpfQDboWcpJWw,4,No,No,No,No,No,no
Mirco Tere & Bella,UCVWSmD7gyvZv7fpcgF-oiCQ,9,Yes,Yes,Yes,Yes,Yes,yes
Julião Cardoso,UCvwW997hUgPd--q1MVQgptw,3,No,No,No,No,No,no
Passport Dude,UCVZOpEN0cQ_kh14wErI2sDw,2,Yes,No,Yes,No,Yes,no
Mariah and Bill,UCW0ulUd4BZY4k_vHqLFWTuw,2,Yes,No,Yes,Yes,Yes,yes
Lucas and Marcus,UCwD4x63A9KC7Si2RuSfg-SA,2,Yes,No,Yes,Yes,No,yes
USA to Philippines Life,UCWfAvyQaYPPfm3S0cTcbyag,2,Yes,Yes,Yes,Yes,Yes,yes
Backpacking Gals,UCWFMGU8jwnfnkHOtWgCUmKA,3,Yes,Yes,Yes,Yes,No,yes
Charles & Alyssa Forever,UCWGcbY5JBzcUenFwl4A1eNw,2,Yes,No,Yes,Yes,Yes,yes
Philippine  life with Janet,UCWgScb7sVo7b0lOEoptHQHQ,2,No,No,Yes,No,No,no
The Garcia Family,UCWjSwkIn2gGgETcZZYaO-6g,37,Yes,No,Yes,Yes,Yes,yes
BEYONDLOCALGODDESSES,UCwjWUUCiv_TPoErI9AZv6Lg,6,Yes,No,Yes,Yes,Yes,yes
Steven Banamu,UCWk9ho4wXA43KZvxE58WSXg,4,Yes,Yes,Yes,Yes,Yes,yes
Marco Roams,UCWkguf2p-KFU5uE7iXJuj5g,3,Yes,Yes,Yes,Yes,Yes,yes
Global Talent World,UCWKuPZzOlGUDUT4GpIwJnhQ,2,No,No,No,Yes,No,no
James Bok,UCwM5tNdLcFiDwMplUUI3efg,3,No,No,Yes,Yes,No,no
Gracejon Filipina lifestyle,UCWmjG_iL6dNUWTUtquYMLQA,4,Yes,Yes,Yes,Yes,Yes,yes
Pocket Films,UCWnTC8o8AycL6a2eRrKSdBg,2,No,No,No,No,No,no
OPM Channel,UCwsqTMolm3mSpcQHQh2CJNA,2,No,No,No,No,No,no
Rohit reaction,UCwuEqFlIeT4UusonWCXMZ_Q,4,No,No,No,No,No,no
Glasses Kingdom,UCwvenK2H-fNo4uUE7SRJL9g,2,Yes,Yes,No,Yes,No,yes
Albert and Cynthia,UCWVIvqrVFchoKn7SNWNQCLw,4,No,No,Yes,Yes,No,no
Every Man Has a Story,UCwVVQkHRtW14nqj5dh-QPgg,2,Yes,Yes,Yes,No,No,yes
Valkyrae,UCWxlUwW9BgGISaakjGM37aw,2,No,No,Yes,Yes,No,no
The Philippines Truth,UCx_PF02mkBQ_rT8_fUfh5xw,3,Yes,Yes,Yes,Yes,Yes,yes
Top 10 of Everything,UCX65YVbGZq5iQdZghk2-_EA,2,No,No,Yes,Yes,Yes,no
Cowsep Mobile Legends,UCx9c2yaN404tcZx6ILLGWiw,3,Yes,Yes,Yes,Yes,No,yes
Vikachka & Eugene,UCX9TowVN7dt9OcrNq9idSSg,3,Yes,Yes,Yes,Yes,No,yes
Amir Malik,UCXA_2sDtNRf0vpNp_RZ3kqg,2,Yes,Yes,Yes,Yes,Yes,yes
Kenn Cordero,UCxAVp60rgKv6yNI-L0oxeWQ,3,No,No,Yes,Yes,No,no
Danny Rayes,UCxB7jMnHekMzHsOl9iZpXrA,3,No,No,No,No,No,no
Justin & Alina,UCxBWeubuZrc8sQE_bXytgUQ,13,Yes,Yes,Yes,Yes,Yes,yes
Phoenix Studio,UCXCcmKaB_pwWbop5LJM_kpA,2,No,No,No,Yes,No,no
Mabuhay Life Adventures,UCxGP9pIiALg9qxZ3Q5hgPIw,2,Yes,Yes,Yes,Yes,Yes,yes
Rita and Pedro,UCxGWrltVGIR3kAK2VsEvc_Q,2,Yes,Yes,Yes,Yes,Yes,yes
Jennifer Terri,UCxHH6fo_k6IGJDChtlTdNpw,10,No,No,Yes,Yes,No,no
MontWRLD,UCXisjO3r0KC_Vh-PWwPTbBA,8,Yes,Yes,Yes,Yes,Yes,yes
T HUBS 22,UCxKN5z9rc4DlZ-7gI7mHKFg,2,Yes,Yes,Yes,Yes,Yes,yes
Philnews Ph,UCXLaplnfekQMfAyxECZfolg,4,No,No,No,No,No,no
Chris Wang,UCXMhhPrd6R3riawJuEzVSkw,4,No,No,Yes,Yes,Yes,no
Strictly Dumpling,UCXOKEdfOFxsHO_-Su3K8SHg,2,No,No,Yes,Yes,No,no
Indian Reaction { ARSLAN },UCxTOjY6It9TWJwWbclmp5mg,3,No,No,Yes,Yes,No,no
KingSchratz,UCXuyB2hyb2rw9-Arn8fBAgw,3,No,No,Yes,Yes,No,no
Kristypata,UCXV-Jt3UPJPstvLVx6A1Z7Q,4,Yes,Yes,Yes,Yes,No,yes
"See Forever - Secret to Living, Longer & Healthier",UCXV2neUSdYDZ7aE9JAY3OOQ,5,No,No,No,No,No,no
Pinoy Gamers React,UCXX5ZeFTpjyNPdTdT8sqDlQ,2,No,No,No,No,No,no
Lost and Jetlagged,UCxXBZJLc5qGH8xXqbviQ2hQ,3,Yes,Yes,Yes,Yes,Yes,yes
NotJeffandSonia,UCXXlfcu-12obaE62wSEgazw,2,Yes,Yes,Yes,Yes,Yes,yes
Dream Team Neal,UCY_pzKuHEMsWcfzSDwvSU5A,3,No,No,No,No,No,no
YouTube React - ytreact,UCY34lthm09Al2f6BULI3dkQ,2,No,No,Yes,Yes,No,no
Nellyslife,UCy9L3Ym1fZqmdaToxy9HsbQ,3,Yes,Yes,Yes,Yes,No,yes
The Hutchinsons,UCYC6B6DMhDUTQQrwgD0CwOw,5,Yes,Yes,Yes,Yes,Yes,yes
LaterTofuEats,UCye4j_cBvIj3GdIlkDZKOGw,3,Yes,Yes,Yes,Yes,Yes,yes
Mark Wiens,UCyEd6QBSgat5kkC6svyjudA,5,No,No,Yes,Yes,No,no
The World According To Jason,UCYEjj738dusPO4hh2hLfLBQ,2,No,No,Yes,Yes,No,no
Akina,UCYKRagH3Wh5SqY39EL8wRWw,2,No,No,No,Yes,No,no
Lazer dos cria,UCYLTF_WZRI117J8TGOOfrdA,3,No,No,No,No,No,no
Ivana Alawi,UCypeLkg3Ne5-LIyiB41b1GQ,3,No,No,No,No,No,no
JUICY REACTS,UCYr4VTQfBpXrccQw_H2S8RA,32,Yes,Yes,Yes,Yes,Yes,yes
Fernando and Vanessa,UCytsMf3mG13YZK9pDjw8yqg,41,No,No,No,Yes,No,no
lucky doyun channel,UCYVEmKA1m5Y6TiErpVv1RnQ,5,Yes,Yes,Yes,Yes,No,yes
Revive Music,UCYXIviXPAaaaU_AOotpXTAw,2,No,No,No,No,No,no
Adventures in America,UCyXSgGAZ1eBSri9-0lLnLLg,4,No,No,No,Yes,No,no
The Juicy Vlog,UCYY2mNcq7pv6IRW92JIT6DA,26,Yes,Yes,Yes,Yes,Yes,yes
MSA previously My Story Animated,UCYzEMRKqrh01-tauv7MYyVQ,5,No,No,No,No,No,no
uncultured,UCZ-5uY71p3Xt9YelLWBqRiQ,30,No,No,Yes,Yes,No,no
Abeeha Fatima,UCZ3S5KaxMobISOxG9NNvFpA,4,No,No,No,No,No,no
Mikey Bustos,UCZ7Cxp6r5JMhpSrIETCXzdQ,6,No,No,No,Yes,No,no
Firstpost,UCz8QaiQxApLq8sLNcszYyJw,3,No,No,No,Yes,No,no
Travelling Yearbook,UCZemRLjTG7_Iz1O5mYOTv5w,2,Yes,Yes,Yes,Yes,Yes,yes
FinnSnow,UCzfEqx1_-zs2xUUzI3jVRSg,19,Yes,Yes,Yes,Yes,Yes,yes
MiniminterClips,UCzfVmyl18x2TTaWp0d5rBNQ,2,No,No,Yes,Yes,Yes,no
D&J REACT,UCZfYUKBwN396zj6I3DA2k0A,8,Yes,No,Yes,Yes,Yes,yes
Q M A,UCzGHLrxKX84ASFw4VtC0dWQ,2,No,No,No,No,No,no
Solem Vlogs,UCzIA1qk2ICPT20VydqqAo8g,4,No,No,No,Yes,No,no
Shev and Dev,UCzjxQJtI4GqGaBwFagqv1AQ,4,Yes,Yes,Yes,Yes,No,yes
Filipina Petite,UCzLY1mM_li78EGhtDztNt8Q,4,No,Yes,Yes,Yes,No,yes
One React PH,UCZWDbOnu7B96T4_ERsKcbDA,2,No,No,No,No,No,no
Simple Street Interview,UCzx36kqBqXsl6kSEkpQbwCw,5,Yes,Yes,Yes,Yes,Yes,yes
Nephi Axe,UCzXlnLhH9pVf9EC4jU_VgrQ,2,No,No,Yes,Yes,No,no
Overflow TV #InspireAndShare,UCZxWAedRNaokJl7OlYgv5jA,2,No,No,No,No,No,no